start_lat,start_lon,end_lat,end_lon,start_area,end_area,distance_meters,duration_seconds,duration_in_traffic_seconds,duration_per_meter
13.0145688,80.0845216,13.0171514,80.0852672,Magilchi puram,Chennai,542,137,137,0.25276752767527677
13.022949,80.084255,13.0189604,80.0859407,Meppur Village,Chennai,501,67,66,0.1317365269461078
13.025509,80.0845708,13.026517,80.0881814,Meppur Village,Meppur Village,524,126,126,0.24045801526717558
13.0267072,80.0883155,13.025509,80.0845708,Meppur Village,Meppur Village,532,128,128,0.24060150375939848
12.9943074,80.1377145,12.9963436,80.1413825,Police Commissioner Colony,Shanmuga Nagar,594,187,186,0.31313131313131315
12.9897788,80.1550102,12.9905509,80.159247,Cowl Bazar,Meenambakkam,539,163,162,0.300556586270872
12.9806662,80.1213286,12.9764493,80.1217741,Indira Nagar,Kamarajapuram,3224,719,635,0.1969602977667494
13.2050812,80.1426503,13.2085762,80.1463235,Nallur,Nallur,560,178,177,0.31607142857142856
13.2067563,80.1677127,13.2100784,80.1639663,Padianallur,Nallur,549,74,74,0.13479052823315119
13.2114696,80.1624889,13.2083394,80.1659619,Nallur,Nallur,513,71,71,0.13840155945419103
13.1965271,80.1305994,13.202737,80.1310815,Unknown,Unknown,1253,311,310,0.24740622505985635
13.1942786,80.1204541,13.1955434,80.1158336,Alamathi,Alamathi,520,64,63,0.12115384615384615
13.1923486,80.1147657,13.1912965,80.1096999,Alamathi,Alamathi,567,71,71,0.12522045855379188
13.1956107,80.1152451,13.1942786,80.1204541,Alamathi,Alamathi,600,87,86,0.14333333333333334
13.1860602,80.1122178,13.1865541,80.1074307,Unknown,Chennai,521,149,160,0.30710172744721687
13.1875097,80.1166618,13.1877554,80.111497,Thirumullaivoyal,Avadi,4723,842,756,0.1600677535464747
13.1801021,80.1183102,13.179809,80.1238474,Phase 3,Phase 3,587,98,98,0.16695059625212946
13.179809,80.1238474,13.1801021,80.1183102,Phase 3,Phase 3,587,98,98,0.16695059625212946
13.1789327,80.1183038,13.1786422,80.1231964,Phase 3,Phase 3,618,145,144,0.23300970873786409
